name,rate,products
"SEB",3,[]
"Sinopec",3,[]
"Skadden",3,[]
"Tata Motors",3,[]
"Tennant",3,[]
"Tetra Pak",3,[]
"Tikkurila",3,[]
"Total Energies",3,[]
"Tungsram",3,[]
"Uniper SE",3,[]
"Vattenfall",3,[]
"Westinghouse Air Brake Technologies Corp",3,[]
"Whirlpool",3,[]
"Yum Brands",3,[]
"Zoetis",3,[]
"3M",4,[]
"AAK",4,[]
"Abrdn",4,[]
"Acer",4,[]
"Adidas",4,[]
"Adobe",4,[]
"ADP",4,[]
"AICPA",4,[]
"Airbus",4,[]
"Akamai",4,[]
"Akin Gump",4,[]
"Alphabet",4,[]
"Alstom",4,[]
"Amazon",4,[]
"American Express",4,[]
"Amway",4,[]
"Analog Devices",4,[]
"Aon PLC",4,[]
"Apple",4,[]
"ARM",4,[]
"ASBIS",4,[]
"Asian Infrastructure Investment Bank",4,[]
"Association of International Certified Professional Accountants",4,[]
"Aston Martin",4,[]
"Atlas Copco",4,[]
"Atlassian",4,[]
"Audi",4,[]
"Bank of China",4,[]
"Bentley",4,[]
"BMW",4,[]
"BNP Paribas",4,[]
"Boeing",4,[]
"Bombardier",4,[]
"Boryszew",4,[]
"Bridgestone Tire",4,[]
"Budvar",4,[]
"Budweiser Budvar",4,[]
"Burberry",4,[]
"Burger King (Restaurant Brands)",4,[]
"Canada Goose",4,[]
"Canadian Tire",4,[]
"Canon",4,[]
"CBRE",4,[]
"CCC",4,[]
"Chanel",4,[]
"Chevron",4,[]
"Chipperfield",4,[]
"Cie Automotives",4,[]
"Cisco",4,[]
"Citi",4,[]
"Citrix",4,[]
"Cleary Gottlieb",4,[]
"Clorox",4,[]
"CMA CGM",4,[]
"CME Group",4,[]
"CNH Industrial",4,[]
"Coca-Cola",4,[]
"Cogent Communications",4,[]
"Commerzbank",4,[]
"Conformis",4,[]
"Continental",4,[]
"Costco",4,[]
"Coty",4,[]
"Credit Agricole",4,[]
"Crocs",4,[]
"Danaher",4,[]
"Dassault Aviation",4,[]
"Debevoise & Plimpton",4,[]
"Decathlon",4,[]
"Dell",4,[]
"Deutsche Bank",4,[]
"DHL",4,[]
"Diageo",4,[]
"DirecTV",4,[]
"Discover",4,[]
"Disney",4,[]
"DPD",4,[]
"DSV A/S",4,[]
"Dunkin Donuts",4,[]
"DuPont",4,[]
"Egon Zehnder",4,[]
"Electrolux",4,[]
"Elopak",4,[]
"Embraer",4,[]
"Eppendorf SE",4,[]
"Equinix",4,[]
"Ericsson",4,[]
"Estee Lauder",4,[]
"FedEx",4,[]
"Ferrari",4,[]
"Ford",4,[]
"Fugro",4,[]
"Garmin",4,[]
"Geberit",4,[]
"Gestamp",4,[]
"GM",4,[]
"Goodyear",4,[]
"Grundfos",4,[]
"Grupo Antolín",4,[]
"Grupo Bimbo",4,[]
"H&M",4,[]
"Hapag Lloyd",4,[]
"HARIBO",4,[]
"Harley-Davidson",4,[]
"Heidrick & Struggles",4,[]
"Hellenic Bottling Company",4,[]
"Herbalife",4,[]
"Hermes",4,[]
"HHLA",4,[]
"Hitachi Construction",4,[]
"HMM",4,[]
"Honda",4,[]
"Honeywell",4,[]
"HP Enterprise (Independent from HP Inc.)",4,[]
"HP Inc.",4,[]
"Hugo Boss",4,[]
"Hyundai",4,[]
"Iberia ",4,[]
"IBM",4,[]
"ICBC",4,[]
"Ikea",4,[]
"Illinois Tool Works",4,[]
"Imperial Brands",4,[]
"Indeed",4,[]
"Inditex",4,[]
"Institute of Internal Auditors",4,[]
"Intel",4,[]
"Intercomm Foods",4,[]
"Intuit",4,[]
"Iveco",4,[]
"Jablotron",4,[]
"Jaguar",4,[]
"JCB",4,[]
"JD Sports",4,[]
"Johnson Controls",4,[]
"Julipedra",4,[]
"Jungheinrich",4,[]
"Juniper Networks",4,[]
"Kepenou Mills",4,[]
"Kering",4,[]
"Kerry Group",4,[]
"KGHM",4,[]
"Kinross Gold",4,[]
"Knight Frank",4,[]
"Komatsu",4,[]
"Korn Ferry",4,[]
"L'Oreal",4,[]
"Lego",4,[]
"Leica Camera AG",4,[]
"Leonardo",4,[]
"Levi Strauss",4,[]
"Lexmark",4,[]
"LG Electronics",4,[]
"Lindt-Sprungli",4,[]
"Little Caesar's",4,[]
"Lladró",4,[]
"Logitech",4,[]
"Louis Dreyfus",4,[]
"Lumen",4,[]
"LVMH",4,[]
"M&G",4,[]
"Maersk",4,[]
"Magna",4,[]
"Mango",4,[]
"Marks & Spencer",4,[]
"Marvell",4,[]
"Mastercard",4,[]
"Mattel",4,[]
"Mazda",4,[]
"McCain Foods",4,[]
"McCormick",4,[]
"McDonald's",4,[]
"Mercedes-Benz",4,[]
"Meta",4,[]
"Metsa",4,[]
"Metso Outotec",4,[]
"Mettler Toledo",4,[]
"Michelin",4,[]
"Micron",4,[]
"Milk Hydrosan sp. z o.o.",4,[]
"Mobatime",4,[]
"Moncler",4,[]
"Mothercare",4,[]
"Motorola Solutions",4,[]
"MVRDV",4,[]
"Nemak",4,[]
"Neste Oyj",4,[]
"New Development Bank",4,[]
"NHL",4,[]
"Nike",4,[]
"Nintendo",4,[]
"Nissan",4,[]
"Nokia",4,[]
"Nvidia",4,[]
"Oracle",4,[]
"Panasonic",4,[]
"Papa John's",4,[]
"Paramount",4,[]
"Payoneer",4,[]
"Paypal",4,[]
"Pernod-Ricard",4,[]
"Pivovary Staropramen",4,[]
"Plzeňský Prazdroj",4,[]
"Polaris",4,[]
"Ponsse PLC",4,[]
"Porsche",4,[]
"Prada",4,[]
"Preem AB",4,[]
"Puma",4,[]
"PVH",4,[]
"Qualcomm",4,[]
"Rabobank",4,[]
"Rakovnický Pivovar",4,[]
"Ralph Lauren",4,[]
"Raytheon",4,[]
"Reima",4,[]
"Remitly Global",4,[]
"Renault",4,[]
"Richemont",4,[]
"Ricoh",4,[]
"Roca",4,[]
"Rockwell Automation",4,[]
"Rolls Royce",4,[]
"Samsonite International",4,[]
"Samsung",4,[]
"Sandvik",4,[]
"SAP",4,[]
"Scandinavian Tobacco",4,[]
"Scania",4,[]
"Schwarz Group",4,[]
"Snap",4,[]
"SonoSim",4,[]
"Sony",4,[]
"SSAB",4,[]
"Starbucks",4,[]
"Stellantis",4,[]
"Subaru",4,[]
"Swatch",4,[]
"Sylvamo",4,[]
"Systemair",4,[]
"Tendam",4,[]
"The Navigator Company",4,[]
"Thermo Fisher",4,[]
"TikTok",4,[]
"Timken",4,[]
"Tous",4,[]
"Toyota",4,[]
"Trane Technologies",4,[]
"Trelleborg Group",4,[]
"Trimble",4,[]
"TSMC",4,[]
"TTC Holding",4,[]
